ID,A,B,C,D,E,F,G,H,I,J,Target
0,73.7256925308349,29.562822076003634,10,5.746984699281615,2,561.4421536842676,3,2,88.60445018697342,2,0
1,4.116467943060661,30.09516894166443,2,6.792505517237673,8,557.5353108397229,5,0,37.46344935580301,0,1
2,77.60657952367542,49.689777502487125,3,7.300040394456192,2,556.1822849414928,3,5,36.7180734363228,5,1
3,17.787214419549016,39.19130708285791,1,5.810425619622985,5,539.476501708532,6,2,54.43143917576391,2,1
4,59.411830348294764,47.295107165232906,12,5.195443240514635,3,556.8555481740774,3,1,32.40531081847088,1,1
5,99.50614959597225,45.14816357525896,3,5.7831331928827705,9,507.558001865813,3,3,50.346619325261464,3,1
6,51.8514560025142,45.81720530657181,8,8.482916633035732,6,585.4394676245753,6,1,42.709130246105076,1,1
7,93.9832804056524,48.47196247282524,4,6.3616257956428095,3,535.5544146396963,2,5,55.90713654675646,5,0
8,5.206991819304778,30.022565049339185,6,3.949544056706819,4,597.9821377054851,5,4,77.77305496735937,4,0
9,95.98543298374385,46.85718630311109,12,5.709375799387042,6,509.84317098536997,3,4,40.62151173750802,4,1
10,87.78778664304822,38.754490705961786,4,8.643098073817997,1,592.0592583599389,2,2,73.54264604658962,2,1
11,19.629467881261736,39.796979396579246,6,6.7013292962686535,0,598.6321089180735,5,0,80.23772688905865,0,1
12,41.139852463943235,45.71374344563422,7,9.422214621026715,6,587.0555329437517,2,4,68.24106812164649,4,1
13,39.25166786064663,42.601711067061316,9,7.197444429271018,8,585.0573067520988,4,4,68.11338781666379,4,0
14,14.07036339114365,39.0896150948175,10,6.499738550181515,8,565.296461051989,0,0,79.30895286039487,0,1
15,81.60199823816765,43.67402920086654,3,2.100054484718788,4,589.759620037304,1,5,83.70577230835687,5,0
16,15.88561364823075,45.13052901357159,9,5.215916662505585,3,589.0051660766147,6,1,86.15010724778566,1,1
17,20.89606586817552,28.21782760409792,7,9.322683370466661,9,584.6028058506628,1,5,32.30801147512472,5,1
18,92.86940452964141,20.109885134664335,10,8.712425782478956,1,500.3360151198795,3,3,78.11397925180444,3,1
19,24.197173126707835,48.08671258908248,6,3.806297852109733,1,528.2927015595513,4,1,59.601109864780994,1,1
20,24.841570354563753,29.12875423509093,8,2.62511302759945,6,518.8664561463178,3,1,31.782957536360207,1,1
21,8.600737496759042,45.49862108492722,7,6.866093991739723,0,508.1950824131367,4,2,64.74121866815821,2,1
22,47.955622813355376,22.989444847863727,4,8.70794708747962,5,558.4270433773081,1,3,75.2227657767117,3,0
